match_id,team1,team2,date,src_team1_score,src_team2_score,team1_xg,team2_xg,team1_shots,team2_shots,team1_sot,team2_sot,team1_big_chances,team2_big_chances,team1_poss,team2_poss,source,match_url,note
1,Mexico,South Africa,06/11/2026,2,0,1.46,0.07,16,3,4,2,2,0,61,39,Sofascore,https://www.sofascore.com/football/match/mexico-south-africa/LUbsGVb#id:15186710,
2,South Korea,Czech Republic,06/11/2026,2,1,2.3,0.83,15,7,6,4,4,1,62,38,Sofascore,https://www.sofascore.com/football/match/south-korea-czechia/oUbsKUb#id:15186720,
3,Canada,Bosnia and Herzegovina,06/12/2026,1,1,1.23,0.96,13,8,4,3,2,2,61,39,Sofascore,https://www.sofascore.com/football/match/canada-bosnia-and-herzegovina/EObscVb#id:15186836,
4,United States,Paraguay,06/12/2026,4,1,1.42,0.54,16,9,6,1,4,1,65,35,Sofascore,https://www.sofascore.com/football/match/paraguay-usa/zUbsOVb#id:15186873,
5,Haiti,Scotland,06/13/2026,0,1,1.05,1.05,15,9,2,2,1,2,54,46,Sofascore,https://www.sofascore.com/football/match/haiti-scotland/VTbsEUc#id:15186853,
6,Australia,Turkey,06/13/2026,2,0,1.18,1.36,9,30,4,8,1,2,28,72,Sofascore,https://www.sofascore.com/football/match/australia-turkiye/aUbsQUb#id:15186874,
7,Brazil,Morocco,06/13/2026,1,1,1.26,1.37,12,14,5,3,1,2,51,49,Sofascore,https://www.sofascore.com/football/match/morocco-brazil/YUbsDVb#id:15186850,
8,Qatar,Switzerland,06/13/2026,1,1,0.6,3.2,6,26,3,7,1,6,32,68,Sofascore,https://www.sofascore.com/football/match/qatar-switzerland/ZTbsRVb#id:15186526,
9,Ivory Coast,Ecuador,06/14/2026,1,0,1.52,1.01,15,12,4,1,2,1,48,52,Sofascore,https://www.sofascore.com/football/match/cote-divoire-ecuador/hVbstVb#id:15186904,
10,Germany,Curaçao,06/14/2026,7,1,4.22,0.41,26,8,12,2,6,0,65,35,Sofascore,https://www.sofascore.com/football/match/curacao-germany/lUbsCqx#id:15186899,
11,Netherlands,Japan,06/14/2026,2,2,0.78,0.59,10,10,6,3,,,60,40,Sofascore,https://www.sofascore.com/football/match/japan-netherlands/fUbsvVb#id:15186945,
12,Sweden,Tunisia,06/14/2026,5,1,1.33,0.28,13,6,7,2,4,0,49,51,Sofascore,https://www.sofascore.com/football/match/tunisia-sweden/NTbsEUb#id:15186951,
13,Iran,New Zealand,06/15/2026,2,2,1.5,1.24,17,14,4,8,2,2,49,51,Sofascore,https://www.sofascore.com/football/match/new-zealand-iran/qVbsJVb#id:15186832,
14,Spain,Cape Verde,06/15/2026,0,0,2.1,0.2,27,6,7,1,2,1,74,26,Sofascore,https://www.sofascore.com/football/match/cabo-verde-spain/YTbsdVb#id:15186783,
15,Belgium,Egypt,06/15/2026,1,1,1.35,1.08,15,14,3,3,2,2,54,46,Sofascore,https://www.sofascore.com/football/match/egypt-belgium/rUbsiVb#id:15186837,
16,Saudi Arabia,Uruguay,06/15/2026,1,1,0.66,1.72,7,27,3,10,1,2,33,67,Sofascore,https://www.sofascore.com/football/match/saudi-arabia-uruguay/AUbsJWb#id:15186811,
17,France,Senegal,06/16/2026,3,1,1.79,0.53,11,6,8,2,4,2,53,47,Sofascore,https://www.sofascore.com/football/match/senegal-france/GObsOUb#id:15186501,
